ZIPYEAR,total_pop,white_nonhisp,black,asian,hispanic,median_hh_inc,per_capita_inc,gini_index,pop_below_poverty,hh_on_snap,med_home_value,med_gross_rent,owner_occupied,renter_occupied,vacant_units,bachelors_deg,masters_deg,unemployed_count,foreign_born,moved_last_year,state,ZIP,YEAR,parks_safety,nuisance_qol,eyesores,obstacles,trash,street_maintenance,illegal_activity,hpd,subterranean,interior
11212 2012,81267.0,749.0,66404.0,1107.0,12046.0,27901.0,15405.0,0.4965,27429.0,10165.0,402900.0,880.0,4615.0,25242.0,3214.0,3817.0,1111.0,4695.0,27423.0,73381.0,36.0,11212,2012,2401,2751,41,389,8256,1272,506,475,1457,1632
11212 2013,84520.0,982.0,69739.0,818.0,11906.0,28348.0,16535.0,0.5001,28856.0,11097.0,391700.0,928.0,4718.0,25449.0,2903.0,3862.0,1118.0,4619.0,28148.0,75392.0,36.0,11212,2013,2248,2729,41,316,7731,1349,432,418,1431,1700
11212 2014,87751.0,1018.0,71232.0,840.0,13539.0,28146.0,15814.0,0.5028,30354.0,12181.0,383200.0,936.0,4497.0,26188.0,2847.0,4395.0,1271.0,4842.0,29204.0,78540.0,36.0,11212,2014,1321,2595,37,469,6377,2999,456,3460,1469,1714
11212 2015,88668.0,1285.0,70612.0,1124.0,14619.0,28207.0,15853.0,0.4975,30735.0,12524.0,394200.0,923.0,4682.0,26761.0,2644.0,4924.0,1589.0,5204.0,29988.0,79293.0,36.0,11212,2015,1023,2817,34,603,4725,3405,497,5186,1379,1540
11212 2016,86469.0,1208.0,68375.0,1321.0,14664.0,28495.0,17064.0,0.5173,29835.0,12816.0,406000.0,956.0,4727.0,26860.0,2982.0,5157.0,1787.0,4850.0,29656.0,77577.0,36.0,11212,2016,1114,3335,24,596,5334,3118,618,5064,1511,1388
11212 2017,82831.0,1116.0,64796.0,975.0,14713.0,25677.0,18150.0,0.5533,29825.0,13905.0,409700.0,942.0,4548.0,26936.0,3242.0,5220.0,1796.0,5786.0,27880.0,74195.0,36.0,11212,2017,1146,2984,35,861,6185,3319,904,4631,1602,1421
11212 2018,76527.0,907.0,59207.0,974.0,14266.0,26239.0,18772.0,0.5507,26929.0,13834.0,425400.0,953.0,4649.0,26805.0,3431.0,5545.0,1799.0,5175.0,26426.0,68964.0,36.0,11212,2018,1003,3045,37,752,6975,3508,1451,4662,1791,1320
11212 2019,75605.0,1286.0,57697.0,831.0,14518.0,26521.0,19569.0,0.5533,25556.0,14027.0,442800.0,942.0,4557.0,27245.0,3524.0,5589.0,1628.0,5058.0,25969.0,67169.0,36.0,11212,2019,824,3367,47,1165,6303,2801,1790,4033,1490,739
11212 2020,74037.0,2231.0,54573.0,677.0,13314.0,29385.0,20958.0,0.5562,23962.0,14337.0,443700.0,982.0,4526.0,26681.0,3194.0,6090.0,1592.0,5499.0,25436.0,65908.0,,11212,2020,682,4281,41,1590,6218,2469,2482,3161,1595,640
11212 2021,78296.0,2482.0,57409.0,828.0,13320.0,30733.0,20426.0,0.534,24523.0,14569.0,459500.0,1016.0,4332.0,27262.0,2617.0,6029.0,1538.0,5825.0,26808.0,70174.0,,11212,2021,899,4865,29,1682,7141,3210,2584,3694,1404,902
11212 2022,84006.0,2918.0,58854.0,659.0,16365.0,35840.0,21502.0,0.5179,27283.0,13970.0,565200.0,1150.0,4632.0,27459.0,2438.0,6667.0,2015.0,5149.0,28240.0,74427.0,,11212,2022,1084,4463,1,1601,6307,3355,2536,4518,1416,1048
11215 2012,67195.0,45146.0,3247.0,4834.0,12000.0,93184.0,55199.0,0.4643,5759.0,1492.0,898400.0,1706.0,10749.0,17809.0,2229.0,17164.0,11600.0,2853.0,11907.0,54241.0,36.0,11215,2012,1129,1379,28,299,3069,1807,1403,1283,1577,1328
11215 2013,68891.0,45680.0,2969.0,5091.0,12473.0,95654.0,56340.0,0.4729,6165.0,1611.0,913200.0,1778.0,10975.0,17847.0,2132.0,17589.0,11892.0,3074.0,12322.0,55734.0,36.0,11215,2013,1175,1661,18,311,3460,1843,1236,1228,1571,1492
11215 2014,70156.0,46098.0,2994.0,5437.0,12753.0,99040.0,58737.0,0.4746,5758.0,1682.0,937700.0,1860.0,10786.0,18198.0,2246.0,18100.0,12244.0,2805.0,12488.0,57023.0,36.0,11215,2014,893,2054,7,361,3682,2527,1588,2080,1530,1445
11215 2015,70818.0,46877.0,2811.0,5483.0,12568.0,103716.0,60565.0,0.4701,5670.0,1533.0,957500.0,1914.0,10967.0,18215.0,1977.0,19041.0,13134.0,2533.0,12449.0,57570.0,36.0,11215,2015,870,2124,15,415,3444,2928,1709,2816,1957,618
11215 2016,69965.0,46744.0,2583.0,5241.0,12095.0,108178.0,64040.0,0.4788,5623.0,1585.0,1000800.0,2000.0,10918.0,18089.0,2008.0,18483.0,13441.0,2155.0,12134.0,57372.0,36.0,11215,2016,1024,2233,12,507,4141,2260,2192,2699,1730,542
11215 2017,71015.0,47287.0,2480.0,5409.0,12166.0,116893.0,67148.0,0.4778,5220.0,1588.0,1084600.0,2123.0,11487.0,17393.0,2182.0,18967.0,13504.0,1930.0,11920.0,59109.0,36.0,11215,2017,1174,2557,19,554,6007,2501,2729,2914,2251,505
11215 2018,70156.0,46961.0,2636.0,5531.0,11428.0,123583.0,70556.0,0.477,4957.0,1427.0,1138500.0,2216.0,11611.0,17024.0,2285.0,18903.0,13771.0,1700.0,12059.0,58689.0,36.0,11215,2018,1222,2444,9,552,10418,3226,3562,3306,2546,714
11215 2019,69873.0,47251.0,2722.0,5620.0,10480.0,132091.0,74942.0,0.4744,4927.0,1381.0,1222400.0,2270.0,11758.0,16687.0,2034.0,18919.0,13793.0,1514.0,11747.0,58626.0,36.0,11215,2019,1016,2386,12,706,9666,2519,3811,2274,2129,215
11215 2020,69995.0,46104.0,2384.0,6299.0,11032.0,144330.0,80814.0,0.4807,4641.0,1161.0,1291000.0,2332.0,11622.0,17092.0,2278.0,18713.0,14435.0,2369.0,12764.0,58518.0,,11215,2020,876,2837,9,854,10466,1577,3171,2137,1599,175
11215 2021,73419.0,48592.0,2326.0,6532.0,11968.0,156930.0,87707.0,0.4769,4351.0,1134.0,1437900.0,2446.0,12229.0,17166.0,2745.0,19663.0,15310.0,2725.0,13454.0,62355.0,,11215,2021,1258,2868,14,984,11669,2454,4961,2220,1798,311
11215 2022,72014.0,48203.0,2576.0,6539.0,10855.0,173899.0,98246.0,0.4754,4189.0,1089.0,1597400.0,2673.0,11906.0,17559.0,2502.0,19808.0,15174.0,2890.0,13448.0,60662.0,,11215,2022,1571,2847,17,1000,5534,2654,6526,3169,2119,291
11237 2012,53031.0,5390.0,3192.0,3591.0,40378.0,37636.0,15692.0,0.4681,17504.0,5959.0,459000.0,1165.0,1496.0,14781.0,1572.0,3522.0,1254.0,2379.0,24704.0,45774.0,36.0,11237,2012,1918,1917,7,403,5036,979,307,933,1035,1281
11237 2013,55478.0,6643.0,3583.0,3706.0,41074.0,40372.0,17134.0,0.482,18127.0,6240.0,464500.0,1225.0,1688.0,15033.0,1312.0,4133.0,1459.0,3663.0,24861.0,47917.0,36.0,11237,2013,1507,2521,7,488,4465,876,344,665,1043,1072
11237 2014,55258.0,7255.0,3855.0,3722.0,39971.0,42496.0,18373.0,0.4754,17468.0,5941.0,496100.0,1299.0,1535.0,15148.0,1226.0,4574.0,1645.0,3904.0,24050.0,47313.0,36.0,11237,2014,1050,3131,4,666,3828,2064,480,1765,1117,1143
11237 2015,54182.0,7915.0,3606.0,4190.0,37751.0,44950.0,20036.0,0.4824,16436.0,5580.0,511500.0,1323.0,1530.0,15052.0,1238.0,5196.0,1684.0,4014.0,23107.0,46576.0,36.0,11237,2015,829,4000,20,813,3847,2341,587,2867,1081,897
11237 2016,53678.0,8582.0,3885.0,3903.0,36441.0,46351.0,20829.0,0.4689,16454.0,5499.0,551100.0,1357.0,1543.0,15242.0,1128.0,6068.0,1656.0,3862.0,22293.0,46207.0,36.0,11237,2016,781,4851,16,1226,3687,1822,858,3006,984,633
11237 2017,52319.0,9789.0,3840.0,4107.0,33492.0,51269.0,23115.0,0.4676,15303.0,5025.0,595400.0,1428.0,1693.0,15096.0,1195.0,7040.0,1967.0,2919.0,20858.0,44772.0,36.0,11237,2017,719,4980,13,1875,4459,2003,847,2887,1114,631
11237 2018,49310.0,9791.0,3718.0,3557.0,31052.0,51413.0,24493.0,0.4731,14680.0,4600.0,651800.0,1484.0,1668.0,15072.0,1247.0,7196.0,2223.0,1890.0,18151.0,42136.0,36.0,11237,2018,1003,4179,7,1709,6111,2537,1290,3040,1228,850
11237 2019,48876.0,9474.0,3872.0,3298.0,31054.0,53303.0,25990.0,0.4775,14135.0,4504.0,755000.0,1578.0,1567.0,15489.0,1287.0,7879.0,2285.0,1526.0,18339.0,41920.0,36.0,11237,2019,901,4941,9,2324,5544,4146,1493,2567,1220,419
11237 2020,46772.0,10423.0,3933.0,2646.0,28086.0,57375.0,28165.0,0.4663,13167.0,4081.0,846300.0,1697.0,1569.0,15814.0,1326.0,8725.0,2709.0,1668.0,16518.0,40541.0,,11237,2020,714,5857,6,2816,6069,2373,1484,1909,1277,317
11237 2021,50590.0,11711.0,3564.0,3269.0,29698.0,65908.0,31153.0,0.4529,11955.0,3421.0,906000.0,1843.0,1877.0,15638.0,1208.0,10137.0,2951.0,1917.0,17282.0,44072.0,,11237,2021,843,5352,14,2567,6309,2278,2355,2545,1452,450
11237 2022,47183.0,11395.0,4045.0,3089.0,26247.0,79136.0,35966.0,0.4394,10614.0,3411.0,949700.0,1998.0,1908.0,15605.0,1212.0,10308.0,2850.0,2218.0,15724.0,39586.0,,11237,2022,936,4689,16,2030,5055,2581,2825,2763,1673,489
