ZIPYEAR,biz_tech,doe,fin_prop,infr_env,safety,school,ss_hous,avg_duration_min,p1_duration_min,p99_duration_min,dur_avg_hrs,dur_avg_days,3.0,11.0,33.0,34.0,35.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,45.0,0,67,69,71,72,73,76,77,78,83,90,104,housing_building,noise_qol,sanitation_env,street_traffic,public_safety,parks_nature,finance_legal,business_consumer,tech_infrastructure,education,other_misc
11212 2012,252,0,290,4152,3311,14,11189,17427.96068662696,10.707333333333334,286378.2059999984,290.4660114437827,12.102750476824278,0,1,0,0,0,1130,0,0,0,12063,5991,0,7,107,9436,3,8,0,9573,0,81,0,0,0,0,10608,2702,1237,1897,467,353,433,274,1038,14,185
11212 2013,194,0,201,4052,3336,24,10634,17040.575181250584,18.673333333333332,262596.3133333333,284.0095863541764,11.83373276475735,0,0,0,0,0,675,0,0,0,11382,6344,0,11,103,9160,6,10,0,9111,0,51,0,0,0,0,10048,2586,1104,2421,385,230,351,272,989,24,31
11212 2014,190,0,244,4506,3523,13,12536,23240.980467793288,19.011666666666667,382265.5263333339,387.34967446322145,16.139569769300895,0,1,0,0,0,620,0,0,0,13824,6543,0,2,136,10654,3,10,0,10161,0,48,0,0,0,0,11568,2515,1359,2644,412,355,368,269,943,13,566
11212 2015,172,0,277,4928,4316,11,11612,21568.339983095873,18.553333333333335,354747.71399999916,359.4723330515979,14.978013877149913,0,1,0,0,0,628,0,0,0,13362,7299,0,4,184,10412,3,2,0,10547,0,168,0,0,0,0,10803,2858,1329,3090,539,352,376,294,1099,11,565
11212 2016,128,0,212,4901,5281,23,11605,17853.481982814377,18.519166666666667,209914.4174999995,297.5580330469063,12.398251376954429,0,0,0,0,0,914,0,0,0,13870,7325,0,4,178,10012,4,2,0,11704,0,250,0,0,0,0,10602,3346,1363,3484,780,272,324,241,1045,23,670
11212 2017,137,0,260,5618,5652,24,11471,15631.105113400841,15.321666666666667,161671.88416666543,260.5184185566807,10.854934106528361,0,0,0,0,0,982,0,0,0,14080,8064,0,1,162,10156,4,1,0,12661,0,178,0,0,0,0,10713,3078,1771,4038,976,256,344,278,1079,24,605
11212 2018,164,1,224,7263,5773,53,11127,15985.119173597468,16.087666666666667,244404.30400000047,266.41865289329115,11.100777203887132,0,0,0,0,0,1210,0,0,0,14584,8743,0,3,214,10433,2,6,0,13748,0,202,0,0,0,0,10354,3141,2988,4208,1306,408,349,285,1022,54,490
11212 2019,121,12,123,6983,6861,3,8326,17343.49348386408,13.044166666666667,273106.35166666715,289.058224731068,12.044092697127832,0,0,0,0,0,1022,0,0,0,13577,7760,0,1,247,8631,3,11,0,13445,0,92,0,0,0,0,7953,3677,3042,4181,1615,350,173,204,836,15,383
11212 2020,507,3,0,5821,9689,0,7069,12823.418326115137,4.383333333333334,242043.56716666644,213.72363876858563,8.905151615357735,0,0,0,0,0,950,0,0,0,14132,7868,0,0,52,8969,3,8,0,14028,0,29,0,0,0,0,6838,5088,2742,3722,2602,652,1,561,612,3,268
11212 2021,169,4,0,6713,10476,0,8903,12595.770387986595,6.0265,206155.55,209.92950646644326,8.747062769435136,0,0,0,0,0,1089,0,0,0,15625,9415,0,0,42,9837,4,10,0,16314,0,58,0,0,0,0,8511,5687,3339,5270,1777,279,4,194,804,7,393
11212 2022,170,4,0,5462,9591,0,11006,21566.62120834631,7.155833333333334,368980.2,359.44368680577185,14.976820283573828,0,0,0,0,0,956,0,0,0,15838,9205,0,0,1,10586,1,25,0,15551,0,69,0,0,0,0,10337,5386,1502,5202,1856,298,3,216,982,4,447
11215 2012,201,0,386,7598,2377,11,2790,23259.54371697316,2.085000000000003,466078.348333334,387.65906194955267,16.152460914564696,0,0,1326,0,0,0,3788,8233,1,0,0,0,0,268,0,0,0,4019,0,4,0,9072,0,0,0,3070,1596,1276,3529,584,994,1229,436,613,11,25
11215 2013,121,0,329,8121,2697,14,2800,22827.85294029515,9.0,427049.3866666667,380.4642156715858,15.852675652982741,0,0,1377,0,0,0,3537,9142,3,0,0,0,0,432,0,0,0,3654,0,2,0,9994,0,0,0,3217,1859,1274,3834,709,779,1370,328,673,14,25
11215 2014,134,0,364,9129,3760,9,2930,25507.973285776046,6.983333333333333,506384.70216666657,425.13288809626744,17.713870337344478,0,0,246,0,0,0,2814,13247,1,0,0,0,0,370,0,0,0,4650,0,0,0,11306,0,0,0,3419,2617,1665,4467,771,904,1415,370,563,9,126
11215 2015,161,0,361,9432,4258,21,2751,23043.845106794906,4.6721666666666675,466027.7969999999,384.06408511324844,16.002670213052017,0,0,168,0,0,0,2715,14066,4,0,0,0,0,492,0,0,0,4377,0,1,0,12114,0,0,0,3010,2774,2343,5031,816,697,667,527,933,21,165
11215 2016,157,0,274,9402,4788,18,2792,22345.41022808908,8.2005,387554.7813333354,372.4235038014847,15.517645991728529,0,0,244,0,0,0,2584,14576,2,0,0,0,0,605,0,0,0,4225,0,1,0,12600,0,0,0,3377,2800,2701,4796,1012,875,494,534,675,18,149
11215 2017,145,0,341,11792,5541,13,3531,18217.56293464498,7.0,332731.2518333303,303.62604891074966,12.651085371281235,0,0,262,0,0,0,3349,17734,0,0,0,0,0,653,0,0,0,5523,0,0,0,15187,0,0,0,3586,3133,4768,5160,1297,1057,515,513,990,13,331
11215 2018,154,2,347,17459,5634,9,4484,17469.938070793178,7.779833333333333,319530.2229999999,291.16563451321963,12.131901438050818,0,0,166,0,0,0,3964,23936,6,0,0,0,0,809,0,0,0,6862,0,1,0,20417,0,0,0,4735,2952,8953,6192,1290,1429,548,526,1277,11,176
11215 2019,192,4,144,15958,5714,4,2552,17642.412861662713,7.283333333333333,266998.0899999995,294.04021436104523,12.251675598376885,1,0,61,0,0,0,3719,20699,3,0,0,2,0,357,0,0,0,6836,0,0,0,17375,0,0,0,2937,2810,9443,5841,1324,897,228,357,642,8,81
11215 2020,476,6,0,14049,6843,0,2176,16202.300748874122,1.4,396872.3453333318,270.0383458145687,11.251597742273695,0,0,0,0,0,0,3389,20078,1,0,0,0,0,77,0,0,0,6220,0,1,0,17252,0,0,0,2486,2992,8753,4330,2472,972,2,392,1022,10,119
11215 2021,107,2,0,16137,8681,0,3340,14644.732075986185,2.3666666666666667,311108.0859999999,244.07886793310308,10.169952830545961,0,0,0,0,0,0,4093,24045,1,0,0,0,0,31,0,0,0,7645,0,2,0,20589,0,0,0,3564,3492,10418,7340,1564,818,5,198,623,5,240
11215 2022,143,12,0,12271,9620,0,3440,25326.37219621652,2.65,571521.3781666668,422.10620327027533,17.587758469594807,0,0,0,0,1,0,3965,21189,19,0,0,0,0,0,0,0,0,7039,0,0,0,18447,0,0,0,3772,3449,4029,8964,2079,1335,5,418,1191,12,232
11237 2012,183,0,258,3860,2513,6,7014,18874.17493726864,1.0,332599.04000000004,314.56958228781065,13.107065928658777,0,0,0,4686,0,9127,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,12760,909,3,6649,2062,897,1699,287,156,510,189,1331,6,48
11237 2013,73,0,219,3679,3203,7,5846,18478.8374355331,12.0,271951.8083333332,307.98062392555164,12.832525996897985,0,0,0,5106,0,7900,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,11805,1079,7,5596,2654,909,1842,296,131,474,171,939,7,8
11237 2014,69,0,177,4377,4492,11,6224,21837.326249183723,9.367333333333335,339949.5479999993,363.9554374863954,15.164809895266474,0,0,0,5591,0,9717,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,13939,1204,1,5715,3758,1101,2270,433,288,472,166,811,11,325
11237 2015,71,0,158,4672,5938,8,6462,18499.4908443277,7.458333333333334,310774.2083333334,308.3248474054617,12.846868641894238,0,0,0,6191,0,11064,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,15399,1604,6,5936,4788,1253,2524,629,227,269,216,1141,8,318
11237 2016,57,0,107,4841,7585,3,5375,17675.926321190847,9.675333333333333,337604.14333333337,294.59877201984744,12.27494883416031,0,0,0,6676,0,11246,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,16127,1603,1,5081,5974,1246,2723,803,315,171,211,1099,3,342
11237 2017,80,0,125,5309,8466,3,5638,15420.077886635847,10.545,246669.8183333348,257.0012981105975,10.708387421274894,0,0,0,7473,0,12116,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,17722,1657,4,5166,6701,1700,2956,1128,305,191,206,959,3,306
11237 2018,84,2,142,7423,7565,6,6783,15811.583290956461,11.172833333333333,243442.63133333478,263.5263881826077,10.980266174275322,0,0,0,8488,0,13455,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0,19914,1786,1,6537,5578,2977,3265,1156,408,296,202,1176,8,402
11237 2019,68,2,58,9462,9391,0,4523,22519.774344941958,6.685666666666667,259384.98533333334,375.3295724156993,15.638732183987472,0,0,0,9327,0,14126,0,0,0,0,0,0,0,274,0,0,0,0,0,0,0,0,20465,2763,2,4477,7045,3177,5771,1332,348,127,184,829,2,212
11237 2020,266,1,0,7272,11429,0,3746,11462.74463803533,1.2493333333333334,253036.10866666873,191.0457439672555,7.960239331968979,0,0,0,8554,0,14039,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,20437,2189,0,3551,8026,3811,3682,2057,336,45,320,672,2,212
11237 2021,97,2,0,6927,11622,0,5426,10392.17325518266,5.055,202986.72500000056,173.20288758637767,7.216786982765736,0,0,0,8685,0,15309,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,22134,1893,0,4734,7516,4550,4495,1283,311,12,125,768,2,278
11237 2022,124,4,0,6043,10717,0,6061,26773.99880520266,4.266666666666667,613736.2443333452,446.23331342004434,18.59305472583518,0,0,0,8898,0,13935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21085,1864,0,5156,6382,2718,4907,2086,294,35,208,835,4,324
