ZIPYEAR,total_pop,white_nonhisp,black,asian,hispanic,median_hh_inc,per_capita_inc,gini_index,pop_below_poverty,hh_on_snap,med_home_value,med_gross_rent,owner_occupied,renter_occupied,vacant_units,bachelors_deg,masters_deg,unemployed_count,foreign_born,moved_last_year,state,ZIP,YEAR,borough,avg_med_hh_inc,income_2012,income_2022,med_HHinc,total_change,pct_growth,avg_5yr_change,biz_tech,doe,fin_prop,infr_env,safety,school,ss_hous,avg_duration_min,p1_duration_min,p99_duration_min,dur_avg_hrs,dur_avg_days,3.0,11.0,33.0,34.0,35.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,45.0,0,67,69,71,72,73,76,77,78,83,90,104,housing_building,noise_qol,sanitation_env,street_traffic,public_safety,parks_nature,finance_legal,business_consumer,tech_infrastructure,education,other_misc
11215 2012,67195.0,45146.0,3247.0,4834.0,12000.0,93184.0,55199.0,0.4643,5759.0,1492.0,898400.0,1706.0,10749.0,17809.0,2229.0,17164.0,11600.0,2853.0,11907.0,54241.0,36,11215,2012,Brooklyn,109042.375,93184.0,132091.0,109042.375,38907.0,41.75287603021978,19453.5,201,0,386,7598,2377,11,2790,23259.54371697316,2.085000000000003,466078.348333334,387.65906194955267,16.152460914564696,0,0,1326,0,0,0,3788,8233,1,0,0,0,0,268,0,0,0,4019,0,4,0,9072,0,0,0,3070,1596,1276,3529,584,994,1229,436,613,11,25
11212 2012,81267.0,749.0,66404.0,1107.0,12046.0,27901.0,15405.0,0.4965,27429.0,10165.0,402900.0,880.0,4615.0,25242.0,3214.0,3817.0,1111.0,4695.0,27423.0,73381.0,36,11212,2012,Brooklyn,27441.75,27901.0,26521.0,27441.75,-1380.0,-4.9460592810293535,-690.0,252,0,290,4152,3311,14,11189,17427.96068662696,10.707333333333334,286378.2059999984,290.4660114437827,12.102750476824278,0,1,0,0,0,1130,0,0,0,12063,5991,0,7,107,9436,3,8,0,9573,0,81,0,0,0,0,10608,2702,1237,1897,467,353,433,274,1038,14,185
11237 2012,53031.0,5390.0,3192.0,3591.0,40378.0,37636.0,15692.0,0.4681,17504.0,5959.0,459000.0,1165.0,1496.0,14781.0,1572.0,3522.0,1254.0,2379.0,24704.0,45774.0,36,11237,2012,Brooklyn,45973.75,37636.0,53303.0,45973.75,15667.0,41.627696885960255,7833.5,183,0,258,3860,2513,6,7014,18874.17493726864,1.0,332599.04000000004,314.56958228781065,13.107065928658777,0,0,0,4686,0,9127,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,12760,909,3,6649,2062,897,1699,287,156,510,189,1331,6,48
11237 2013,55478.0,6643.0,3583.0,3706.0,41074.0,40372.0,17134.0,0.482,18127.0,6240.0,464500.0,1225.0,1688.0,15033.0,1312.0,4133.0,1459.0,3663.0,24861.0,47917.0,36,11237,2013,Brooklyn,45973.75,37636.0,53303.0,45973.75,15667.0,41.627696885960255,7833.5,73,0,219,3679,3203,7,5846,18478.8374355331,12.0,271951.8083333332,307.98062392555164,12.832525996897985,0,0,0,5106,0,7900,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,11805,1079,7,5596,2654,909,1842,296,131,474,171,939,7,8
11212 2013,84520.0,982.0,69739.0,818.0,11906.0,28348.0,16535.0,0.5001,28856.0,11097.0,391700.0,928.0,4718.0,25449.0,2903.0,3862.0,1118.0,4619.0,28148.0,75392.0,36,11212,2013,Brooklyn,27441.75,27901.0,26521.0,27441.75,-1380.0,-4.9460592810293535,-690.0,194,0,201,4052,3336,24,10634,17040.575181250584,18.673333333333332,262596.3133333333,284.0095863541764,11.83373276475735,0,0,0,0,0,675,0,0,0,11382,6344,0,11,103,9160,6,10,0,9111,0,51,0,0,0,0,10048,2586,1104,2421,385,230,351,272,989,24,31
11215 2013,68891.0,45680.0,2969.0,5091.0,12473.0,95654.0,56340.0,0.4729,6165.0,1611.0,913200.0,1778.0,10975.0,17847.0,2132.0,17589.0,11892.0,3074.0,12322.0,55734.0,36,11215,2013,Brooklyn,109042.375,93184.0,132091.0,109042.375,38907.0,41.75287603021978,19453.5,121,0,329,8121,2697,14,2800,22827.85294029515,9.0,427049.3866666667,380.4642156715858,15.852675652982741,0,0,1377,0,0,0,3537,9142,3,0,0,0,0,432,0,0,0,3654,0,2,0,9994,0,0,0,3217,1859,1274,3834,709,779,1370,328,673,14,25
11212 2014,87751.0,1018.0,71232.0,840.0,13539.0,28146.0,15814.0,0.5028,30354.0,12181.0,383200.0,936.0,4497.0,26188.0,2847.0,4395.0,1271.0,4842.0,29204.0,78540.0,36,11212,2014,Brooklyn,27441.75,27901.0,26521.0,27441.75,-1380.0,-4.9460592810293535,-690.0,190,0,244,4506,3523,13,12536,23240.980467793288,19.011666666666667,382265.5263333339,387.34967446322145,16.139569769300895,0,1,0,0,0,620,0,0,0,13824,6543,0,2,136,10654,3,10,0,10161,0,48,0,0,0,0,11568,2515,1359,2644,412,355,368,269,943,13,566
11215 2014,70156.0,46098.0,2994.0,5437.0,12753.0,99040.0,58737.0,0.4746,5758.0,1682.0,937700.0,1860.0,10786.0,18198.0,2246.0,18100.0,12244.0,2805.0,12488.0,57023.0,36,11215,2014,Brooklyn,109042.375,93184.0,132091.0,109042.375,38907.0,41.75287603021978,19453.5,134,0,364,9129,3760,9,2930,25507.973285776046,6.983333333333333,506384.70216666657,425.13288809626744,17.713870337344478,0,0,246,0,0,0,2814,13247,1,0,0,0,0,370,0,0,0,4650,0,0,0,11306,0,0,0,3419,2617,1665,4467,771,904,1415,370,563,9,126
11237 2014,55258.0,7255.0,3855.0,3722.0,39971.0,42496.0,18373.0,0.4754,17468.0,5941.0,496100.0,1299.0,1535.0,15148.0,1226.0,4574.0,1645.0,3904.0,24050.0,47313.0,36,11237,2014,Brooklyn,45973.75,37636.0,53303.0,45973.75,15667.0,41.627696885960255,7833.5,69,0,177,4377,4492,11,6224,21837.326249183723,9.367333333333335,339949.5479999993,363.9554374863954,15.164809895266474,0,0,0,5591,0,9717,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,13939,1204,1,5715,3758,1101,2270,433,288,472,166,811,11,325
11237 2015,54182.0,7915.0,3606.0,4190.0,37751.0,44950.0,20036.0,0.4824,16436.0,5580.0,511500.0,1323.0,1530.0,15052.0,1238.0,5196.0,1684.0,4014.0,23107.0,46576.0,36,11237,2015,Brooklyn,45973.75,37636.0,53303.0,45973.75,15667.0,41.627696885960255,7833.5,71,0,158,4672,5938,8,6462,18499.4908443277,7.458333333333334,310774.2083333334,308.3248474054617,12.846868641894238,0,0,0,6191,0,11064,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,15399,1604,6,5936,4788,1253,2524,629,227,269,216,1141,8,318
11215 2015,70818.0,46877.0,2811.0,5483.0,12568.0,103716.0,60565.0,0.4701,5670.0,1533.0,957500.0,1914.0,10967.0,18215.0,1977.0,19041.0,13134.0,2533.0,12449.0,57570.0,36,11215,2015,Brooklyn,109042.375,93184.0,132091.0,109042.375,38907.0,41.75287603021978,19453.5,161,0,361,9432,4258,21,2751,23043.845106794906,4.6721666666666675,466027.7969999999,384.06408511324844,16.002670213052017,0,0,168,0,0,0,2715,14066,4,0,0,0,0,492,0,0,0,4377,0,1,0,12114,0,0,0,3010,2774,2343,5031,816,697,667,527,933,21,165
11212 2015,88668.0,1285.0,70612.0,1124.0,14619.0,28207.0,15853.0,0.4975,30735.0,12524.0,394200.0,923.0,4682.0,26761.0,2644.0,4924.0,1589.0,5204.0,29988.0,79293.0,36,11212,2015,Brooklyn,27441.75,27901.0,26521.0,27441.75,-1380.0,-4.9460592810293535,-690.0,172,0,277,4928,4316,11,11612,21568.339983095873,18.553333333333335,354747.71399999916,359.4723330515979,14.978013877149913,0,1,0,0,0,628,0,0,0,13362,7299,0,4,184,10412,3,2,0,10547,0,168,0,0,0,0,10803,2858,1329,3090,539,352,376,294,1099,11,565
11215 2016,69965.0,46744.0,2583.0,5241.0,12095.0,108178.0,64040.0,0.4788,5623.0,1585.0,1000800.0,2000.0,10918.0,18089.0,2008.0,18483.0,13441.0,2155.0,12134.0,57372.0,36,11215,2016,Brooklyn,109042.375,93184.0,132091.0,109042.375,38907.0,41.75287603021978,19453.5,157,0,274,9402,4788,18,2792,22345.41022808908,8.2005,387554.7813333354,372.4235038014847,15.517645991728529,0,0,244,0,0,0,2584,14576,2,0,0,0,0,605,0,0,0,4225,0,1,0,12600,0,0,0,3377,2800,2701,4796,1012,875,494,534,675,18,149
11237 2016,53678.0,8582.0,3885.0,3903.0,36441.0,46351.0,20829.0,0.4689,16454.0,5499.0,551100.0,1357.0,1543.0,15242.0,1128.0,6068.0,1656.0,3862.0,22293.0,46207.0,36,11237,2016,Brooklyn,45973.75,37636.0,53303.0,45973.75,15667.0,41.627696885960255,7833.5,57,0,107,4841,7585,3,5375,17675.926321190847,9.675333333333333,337604.14333333337,294.59877201984744,12.27494883416031,0,0,0,6676,0,11246,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,16127,1603,1,5081,5974,1246,2723,803,315,171,211,1099,3,342
11212 2016,86469.0,1208.0,68375.0,1321.0,14664.0,28495.0,17064.0,0.5173,29835.0,12816.0,406000.0,956.0,4727.0,26860.0,2982.0,5157.0,1787.0,4850.0,29656.0,77577.0,36,11212,2016,Brooklyn,27441.75,27901.0,26521.0,27441.75,-1380.0,-4.9460592810293535,-690.0,128,0,212,4901,5281,23,11605,17853.481982814377,18.519166666666667,209914.4174999995,297.5580330469063,12.398251376954429,0,0,0,0,0,914,0,0,0,13870,7325,0,4,178,10012,4,2,0,11704,0,250,0,0,0,0,10602,3346,1363,3484,780,272,324,241,1045,23,670
