ZIPYEAR,total_pop,white_nonhisp,black,asian,hispanic,median_hh_inc,per_capita_inc,gini_index,pop_below_poverty,hh_on_snap,med_home_value,med_gross_rent,owner_occupied,renter_occupied,vacant_units,bachelors_deg,masters_deg,unemployed_count,foreign_born,moved_last_year,state,ZIP,YEAR,biz_tech,doe,fin_prop,infr_env,safety,school,ss_hous,avg_duration_min,p1_duration_min,p99_duration_min,dur_avg_hrs,dur_avg_days,housing_building,noise_qol,sanitation_env,street_traffic,public_safety,parks_nature,finance_legal,business_consumer,tech_infrastructure,education,other_misc
11212 2012,81267.0,749.0,66404.0,1107.0,12046.0,27901.0,15405.0,0.4965,27429.0,10165.0,402900.0,880.0,4615.0,25242.0,3214.0,3817.0,1111.0,4695.0,27423.0,73381.0,36.0,11212,2012,252,0,290,4124,3311,14,11189,16425.33469557741,10.688666666666668,252047.3079999997,273.7555782596235,11.406482427484313,10592,2702,1237,1895,464,346,433,274,1038,14,185
11212 2013,84520.0,982.0,69739.0,818.0,11906.0,28348.0,16535.0,0.5001,28856.0,11097.0,391700.0,928.0,4718.0,25449.0,2903.0,3862.0,1118.0,4619.0,28148.0,75392.0,36.0,11212,2013,194,0,201,4009,3336,24,10631,15479.07759403554,18.596666666666668,233440.07533333302,257.984626567259,10.749359440302458,10021,2586,1104,2409,384,225,351,272,988,24,31
11212 2014,87751.0,1018.0,71232.0,840.0,13539.0,28146.0,15814.0,0.5028,30354.0,12181.0,383200.0,936.0,4497.0,26188.0,2847.0,4395.0,1271.0,4842.0,29204.0,78540.0,36.0,11212,2014,189,0,244,4417,3523,13,12511,20005.85439326765,18.999166666666667,260647.5224999988,333.4309065544609,13.892954439769204,11522,2515,1358,2632,410,331,368,268,943,13,537
11212 2015,88668.0,1285.0,70612.0,1124.0,14619.0,28207.0,15853.0,0.4975,30735.0,12524.0,394200.0,923.0,4682.0,26761.0,2644.0,4924.0,1589.0,5204.0,29988.0,79293.0,36.0,11212,2015,172,0,277,4827,4316,8,11609,17943.676919280188,18.38083333333333,243920.60233333055,299.06128198800315,12.460886749500132,10783,2858,1329,3089,535,274,376,294,1099,8,564
11212 2016,86469.0,1208.0,68375.0,1321.0,14664.0,28495.0,17064.0,0.5173,29835.0,12816.0,406000.0,956.0,4727.0,26860.0,2982.0,5157.0,1787.0,4850.0,29656.0,77577.0,36.0,11212,2016,128,0,212,4858,5281,22,11601,16392.33723492916,18.466166666666666,188426.42966666658,273.2056205821527,11.383567524256362,10571,3346,1362,3477,780,264,324,241,1045,22,670
11212 2017,82831.0,1116.0,64796.0,975.0,14713.0,25677.0,18150.0,0.5533,29825.0,13905.0,409700.0,942.0,4548.0,26936.0,3242.0,5220.0,1796.0,5786.0,27880.0,74195.0,36.0,11212,2017,137,0,259,5547,5651,24,11470,13616.178138460626,15.267499999999998,131040.79316666667,226.9363023076771,9.45567926281988,10674,3078,1766,4025,976,241,343,277,1079,24,605
11212 2018,76527.0,907.0,59207.0,974.0,14266.0,26239.0,18772.0,0.5507,26929.0,13834.0,425400.0,953.0,4649.0,26805.0,3431.0,5545.0,1799.0,5175.0,26426.0,68964.0,36.0,11212,2018,164,1,224,7214,5773,53,11115,14399.459276795442,16.06,216321.35666666325,239.9909879465907,9.999624497774613,10344,3141,2975,4202,1300,386,348,282,1022,54,490
11212 2019,75605.0,1286.0,57697.0,831.0,14518.0,26521.0,19569.0,0.5533,25556.0,14027.0,442800.0,942.0,4557.0,27245.0,3524.0,5589.0,1628.0,5058.0,25969.0,67169.0,36.0,11212,2019,124,12,123,7064,6899,3,8334,23812.748353497682,13.165833333333333,590037.0500000068,396.87913922496136,16.536630801040058,7982,3696,3044,4210,1628,382,174,207,837,15,384
11212 2020,74037.0,2231.0,54573.0,677.0,13314.0,29385.0,20958.0,0.5562,23962.0,14337.0,443700.0,982.0,4526.0,26681.0,3194.0,6090.0,1592.0,5499.0,25436.0,65908.0,,11212,2020,507,3,0,5891,9689,0,7069,16337.777522248656,4.383333333333334,308822.76316666394,272.2962920374776,11.3456788348949,6840,5088,2742,3747,2603,694,1,561,612,3,268
11212 2021,78296.0,2482.0,57409.0,828.0,13320.0,30733.0,20426.0,0.534,24523.0,14569.0,459500.0,1016.0,4332.0,27262.0,2617.0,6029.0,1538.0,5825.0,26808.0,70174.0,,11212,2021,169,4,0,6857,10476,0,8904,18047.679634044736,6.033333333333333,370253.3599999984,300.7946605674123,12.533110856975512,8516,5687,3341,5303,1840,319,4,194,805,7,394
11212 2022,84006.0,2918.0,58854.0,659.0,16365.0,35840.0,21502.0,0.5179,27283.0,13970.0,565200.0,1150.0,4632.0,27459.0,2438.0,6667.0,2015.0,5149.0,28240.0,74427.0,,11212,2022,170,4,0,5495,9591,0,11069,24990.16764401696,7.1805,465629.5136666658,416.5027940669494,17.35428308612289,10364,5388,1505,5214,1856,298,3,253,982,4,462
11215 2012,67195.0,45146.0,3247.0,4834.0,12000.0,93184.0,55199.0,0.4643,5759.0,1492.0,898400.0,1706.0,10749.0,17809.0,2229.0,17164.0,11600.0,2853.0,11907.0,54241.0,36.0,11215,2012,201,0,386,7538,2377,10,2790,20034.16214124519,2.0,315360.0,333.9027023540865,13.912612598086938,3053,1596,1275,3526,584,955,1229,436,613,10,25
11215 2013,68891.0,45680.0,2969.0,5091.0,12473.0,95654.0,56340.0,0.4729,6165.0,1611.0,913200.0,1778.0,10975.0,17847.0,2132.0,17589.0,11892.0,3074.0,12322.0,55734.0,36.0,11215,2013,121,0,329,8035,2697,13,2800,18779.310247323177,9.0,321727.23566666583,312.988504122053,13.041187671752207,3195,1859,1274,3828,705,725,1370,328,673,13,25
11215 2014,70156.0,46098.0,2994.0,5437.0,12753.0,99040.0,58737.0,0.4746,5758.0,1682.0,937700.0,1860.0,10786.0,18198.0,2246.0,18100.0,12244.0,2805.0,12488.0,57023.0,36.0,11215,2014,134,0,364,8986,3760,9,2914,19362.580297271914,6.916666666666667,347035.24,322.70967162119854,13.446236317549939,3377,2617,1661,4454,766,815,1415,370,560,9,123
11215 2015,70818.0,46877.0,2811.0,5483.0,12568.0,103716.0,60565.0,0.4701,5670.0,1533.0,957500.0,1914.0,10967.0,18215.0,1977.0,19041.0,13134.0,2533.0,12449.0,57570.0,36.0,11215,2015,161,0,361,9347,4258,18,2751,19261.73028133635,4.409999999999997,345820.7863333335,321.0288380222725,13.376201584261354,2982,2774,2343,5030,814,644,666,527,933,18,165
11215 2016,69965.0,46744.0,2583.0,5241.0,12095.0,108178.0,64040.0,0.4788,5623.0,1585.0,1000800.0,2000.0,10918.0,18089.0,2008.0,18483.0,13441.0,2155.0,12134.0,57372.0,36.0,11215,2016,157,0,274,9313,4788,16,2792,18802.826869519857,8.024000000000001,301234.66733333335,313.3804478253309,13.057518659388789,3324,2800,2701,4793,1008,847,494,534,674,16,149
11215 2017,71015.0,47287.0,2480.0,5409.0,12166.0,116893.0,67148.0,0.4778,5220.0,1588.0,1084600.0,2123.0,11487.0,17393.0,2182.0,18967.0,13504.0,1930.0,11920.0,59109.0,36.0,11215,2017,145,0,339,11647,5536,13,3531,13662.453499002386,7.0,213713.94499999876,227.70755831670644,9.487814929862768,3547,3133,4761,5145,1294,976,513,508,990,13,331
11215 2018,70156.0,46961.0,2636.0,5531.0,11428.0,123583.0,70556.0,0.477,4957.0,1427.0,1138500.0,2216.0,11611.0,17024.0,2285.0,18903.0,13771.0,1700.0,12059.0,58689.0,36.0,11215,2018,154,2,347,17373,5634,9,4480,15497.653720094211,7.761166666666666,270397.68050000013,258.2942286682368,10.7622595278432,4727,2952,8947,6182,1263,1392,548,526,1275,11,176
11215 2019,69873.0,47251.0,2722.0,5620.0,10480.0,132091.0,74942.0,0.4744,4927.0,1381.0,1222400.0,2270.0,11758.0,16687.0,2034.0,18919.0,13793.0,1514.0,11747.0,58626.0,36.0,11215,2019,213,4,144,16102,5715,4,2552,25715.988195449347,7.326333333333333,506551.82933333004,428.5998032574891,17.858325135728712,2993,2831,9445,5852,1342,952,228,358,644,8,81
11215 2020,69995.0,46104.0,2384.0,6299.0,11032.0,144330.0,80814.0,0.4807,4641.0,1161.0,1291000.0,2332.0,11622.0,17092.0,2278.0,18713.0,14435.0,2369.0,12764.0,58518.0,,11215,2020,478,8,0,14194,6845,0,2176,23530.80333129317,1.4,630223.9678333334,392.18005552155284,16.340835646731367,2500,2992,8755,4344,2509,1048,2,396,1022,12,121
11215 2021,73419.0,48592.0,2326.0,6532.0,11968.0,156930.0,87707.0,0.4769,4351.0,1134.0,1437900.0,2446.0,12229.0,17166.0,2745.0,19663.0,15310.0,2725.0,13454.0,62355.0,,11215,2021,107,3,0,16402,8684,0,3341,24471.72591239124,2.3666666666666667,793170.0573333269,407.862098539854,16.99425410582725,3573,3492,10419,7352,1602,1023,5,201,623,6,241
11215 2022,72014.0,48203.0,2576.0,6539.0,10855.0,173899.0,98246.0,0.4754,4189.0,1089.0,1597400.0,2673.0,11906.0,17559.0,2502.0,19808.0,15174.0,2890.0,13448.0,60662.0,,11215,2022,162,14,0,12352,9620,0,3580,34538.9460182375,2.6666666666666665,791028.7288333306,575.6491003039583,23.9853791793316,3776,3469,4029,8978,2079,1399,5,533,1191,14,255
11237 2012,53031.0,5390.0,3192.0,3591.0,40378.0,37636.0,15692.0,0.4681,17504.0,5959.0,459000.0,1165.0,1496.0,14781.0,1572.0,3522.0,1254.0,2379.0,24704.0,45774.0,36.0,11237,2012,183,0,258,3842,2513,6,7014,17965.39313754758,1.0,311493.34200000146,299.42321895912636,12.475967456630265,6641,2062,897,1699,285,148,510,189,1331,6,48
11237 2013,55478.0,6643.0,3583.0,3706.0,41074.0,40372.0,17134.0,0.482,18127.0,6240.0,464500.0,1225.0,1688.0,15033.0,1312.0,4133.0,1459.0,3663.0,24861.0,47917.0,36.0,11237,2013,73,0,219,3640,3203,7,5846,16613.358798532478,12.0,257048.97266666664,276.88931330887465,11.537054721203111,5577,2654,908,1838,295,118,473,171,939,7,8
11237 2014,55258.0,7255.0,3855.0,3722.0,39971.0,42496.0,18373.0,0.4754,17468.0,5941.0,496100.0,1299.0,1535.0,15148.0,1226.0,4574.0,1645.0,3904.0,24050.0,47313.0,36.0,11237,2014,68,0,177,4282,4492,11,6218,17915.425175158154,9.266666666666667,231840.0,298.59041958596924,12.441267482748719,5704,3758,1100,2256,426,227,472,165,811,11,318
11237 2015,54182.0,7915.0,3606.0,4190.0,37751.0,44950.0,20036.0,0.4824,16436.0,5580.0,511500.0,1323.0,1530.0,15052.0,1238.0,5196.0,1684.0,4014.0,23107.0,46576.0,36.0,11237,2015,71,0,158,4647,5938,6,6462,17380.52005899705,7.417833333333332,269185.89166666684,289.67533431661747,12.069805596525727,5918,4788,1253,2522,629,222,269,216,1141,6,318
11237 2016,53678.0,8582.0,3885.0,3903.0,36441.0,46351.0,20829.0,0.4689,16454.0,5499.0,551100.0,1357.0,1543.0,15242.0,1128.0,6068.0,1656.0,3862.0,22293.0,46207.0,36.0,11237,2016,57,0,107,4737,7585,3,5375,13805.772751307435,9.645333333333333,226318.78066666666,230.0962125217906,9.587342188407941,5049,5974,1245,2719,800,252,171,211,1099,3,341
11237 2017,52319.0,9789.0,3840.0,4107.0,33492.0,51269.0,23115.0,0.4676,15303.0,5025.0,595400.0,1428.0,1693.0,15096.0,1195.0,7040.0,1967.0,2919.0,20858.0,44772.0,36.0,11237,2017,80,0,125,5221,8465,3,5634,12543.816603318728,10.504333333333333,175660.65899999993,209.06361005531213,8.710983752304672,5126,6701,1686,2948,1124,281,189,205,959,3,306
11237 2018,49310.0,9791.0,3718.0,3557.0,31052.0,51413.0,24493.0,0.4731,14680.0,4600.0,651800.0,1484.0,1668.0,15072.0,1247.0,7196.0,2223.0,1890.0,18151.0,42136.0,36.0,11237,2018,84,2,142,7378,7565,6,6777,14378.77517188213,11.159666666666666,206152.6073333331,239.64625286470215,9.985260536029257,6514,5578,2975,3260,1151,396,295,199,1176,8,402
11237 2019,48876.0,9474.0,3872.0,3298.0,31054.0,53303.0,25990.0,0.4775,14135.0,4504.0,755000.0,1578.0,1567.0,15489.0,1287.0,7879.0,2285.0,1526.0,18339.0,41920.0,36.0,11237,2019,71,2,58,9509,9401,0,4523,25616.917519597268,6.695666666666667,282389.50166666665,426.94862532662114,17.789526055275882,4493,7048,3181,5774,1340,363,127,194,830,2,212
11237 2020,46772.0,10423.0,3933.0,2646.0,28086.0,57375.0,28165.0,0.4663,13167.0,4081.0,846300.0,1697.0,1569.0,15814.0,1326.0,8725.0,2709.0,1668.0,16518.0,40541.0,,11237,2020,269,1,0,7375,11431,0,3746,16260.78486827291,1.25,398819.56666666665,271.01308113788184,11.29221171407841,3553,8026,3811,3691,2126,359,45,325,672,2,212
